bit_width,bulk_params,cols,compression_ratio_target,layer,method,module_type,name,relative_bulk_quantization_error,relative_structured_quantized_error,residual_fraction,residual_params,residual_precision,residual_type,rotation_type,rows
3,3432192,8960,4.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.41220814748918455,0.808261328729144,0.04,545792,float16,low_rank,none,1536
2,3432192,8960,4.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9321080432964638,0.9511702702746064,0.04,545792,float16,low_rank,none,1536
4,860160,8960,4.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9281694496587997,0.04,545792,float16,low_rank,none,1536
3,860160,8960,4.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9323128411423011,0.04,545792,float16,low_rank,none,1536
2,860160,8960,4.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9547426980494607,0.04,545792,float16,low_rank,none,1536
4,393216,8960,4.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9501154505654793,0.04,545792,float16,low_rank,none,1536
3,393216,8960,4.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9506064762071034,0.04,545792,float16,low_rank,none,1536
2,393216,8960,4.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.9543634004511622,0.04,545792,float16,low_rank,none,1536
4,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.19282545999345796,0.8951443195278821,0.0,0,float16,none,none,1536
3,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.4413731663629152,0.9130745945381629,0.0,0,float16,none,none,1536
2,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9383891063703379,0.9869691162163972,0.0,0,float16,none,none,1536
4,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9691146621502449,0.0,0,float16,none,none,1536
3,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9730845658531413,0.0,0,float16,none,none,1536
2,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9956377316616171,0.0,0,float16,none,none,1536
4,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.992963399054007,0.0,0,float16,none,none,1536
3,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9934344074812388,0.0,0,float16,none,none,1536
2,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.997119409576803,0.0,0,float16,none,none,1536
4,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.19282545999345796,0.8877103027465518,0.01,136448,float16,low_rank,none,1536
3,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.4413731663629152,0.9057924705336843,0.01,136448,float16,low_rank,none,1536
2,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9383891063703379,0.980261711591567,0.01,136448,float16,low_rank,none,1536
4,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9540144887682678,0.01,136448,float16,low_rank,none,1536
3,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9580601818495433,0.01,136448,float16,low_rank,none,1536
2,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9802277991447265,0.01,136448,float16,low_rank,none,1536
4,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9769239906316479,0.01,136448,float16,low_rank,none,1536
3,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9774015417826525,0.01,136448,float16,low_rank,none,1536
2,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.981087308378952,0.01,136448,float16,low_rank,none,1536
4,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.19282545999345796,0.8803044700490188,0.02,272896,float16,low_rank,none,1536
3,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.4413731663629152,0.8985491255474342,0.02,272896,float16,low_rank,none,1536
2,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9383891063703379,0.9735761566261257,0.02,272896,float16,low_rank,none,1536
4,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9445881493853987,0.02,272896,float16,low_rank,none,1536
3,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9486677611749296,0.02,272896,float16,low_rank,none,1536
2,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9708454020846552,0.02,272896,float16,low_rank,none,1536
4,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9670823652365489,0.02,272896,float16,low_rank,none,1536
3,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9675653311121065,0.02,272896,float16,low_rank,none,1536
2,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.9712724589990771,0.02,272896,float16,low_rank,none,1536
4,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.19282545999345796,0.8655729964232015,0.04,545792,float16,low_rank,none,1536
3,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.4413731663629152,0.8841223369145603,0.04,545792,float16,low_rank,none,1536
2,1710848,8960,8.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9383891063703379,0.9603167072277735,0.04,545792,float16,low_rank,none,1536
4,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9281694496587997,0.04,545792,float16,low_rank,none,1536
3,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9323128411423011,0.04,545792,float16,low_rank,none,1536
2,860160,8960,8.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9547426980494607,0.04,545792,float16,low_rank,none,1536
4,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9501154505654793,0.04,545792,float16,low_rank,none,1536
3,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9506064762071034,0.04,545792,float16,low_rank,none,1536
2,393216,8960,8.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.9543634004511622,0.04,545792,float16,low_rank,none,1536
4,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.21947134596113296,0.9419632191211824,0.0,0,float16,none,none,1536
3,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.494725456156836,0.9540863317798939,0.0,0,float16,none,none,1536
2,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9447440342702876,0.9933504025387221,0.0,0,float16,none,none,1536
4,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9691146621502449,0.0,0,float16,none,none,1536
3,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9730845658531413,0.0,0,float16,none,none,1536
2,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9956377316616171,0.0,0,float16,none,none,1536
4,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.992963399054007,0.0,0,float16,none,none,1536
3,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9934344074812388,0.0,0,float16,none,none,1536
2,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.997119409576803,0.0,0,float16,none,none,1536
4,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.21947134596113296,0.9342092261770688,0.01,136448,float16,low_rank,none,1536
3,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.494725456156836,0.9464451123489105,0.01,136448,float16,low_rank,none,1536
2,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9447440342702876,0.9860035096394506,0.01,136448,float16,low_rank,none,1536
4,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9540144887682678,0.01,136448,float16,low_rank,none,1536
3,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9580601818495433,0.01,136448,float16,low_rank,none,1536
2,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9802277991447265,0.01,136448,float16,low_rank,none,1536
4,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9769239906316479,0.01,136448,float16,low_rank,none,1536
3,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9774015417826525,0.01,136448,float16,low_rank,none,1536
2,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.981087308378952,0.01,136448,float16,low_rank,none,1536
4,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.21947134596113296,0.9265392252284749,0.02,272896,float16,low_rank,none,1536
3,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.494725456156836,0.9388667527418418,0.02,272896,float16,low_rank,none,1536
2,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9447440342702876,0.9787452036168013,0.02,272896,float16,low_rank,none,1536
4,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9445881493853987,0.02,272896,float16,low_rank,none,1536
3,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9486677611749296,0.02,272896,float16,low_rank,none,1536
2,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9708454020846552,0.02,272896,float16,low_rank,none,1536
4,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9670823652365489,0.02,272896,float16,low_rank,none,1536
3,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9675653311121065,0.02,272896,float16,low_rank,none,1536
2,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.9712724589990771,0.02,272896,float16,low_rank,none,1536
4,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.21947134596113296,0.9113514017859141,0.04,545792,float16,low_rank,none,1536
3,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.494725456156836,0.9238917434766867,0.04,545792,float16,low_rank,none,1536
2,850176,8960,16.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9447440342702876,0.9643766750654614,0.04,545792,float16,low_rank,none,1536
4,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9281694496587997,0.04,545792,float16,low_rank,none,1536
3,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9323128411423011,0.04,545792,float16,low_rank,none,1536
2,860160,8960,16.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9547426980494607,0.04,545792,float16,low_rank,none,1536
4,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9501154505654793,0.04,545792,float16,low_rank,none,1536
3,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9506064762071034,0.04,545792,float16,low_rank,none,1536
2,393216,8960,16.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.9543634004511622,0.04,545792,float16,low_rank,none,1536
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.16532631611818224,0.6298597164826882,0.0,0,float16,none,hadamard,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.3855997542383953,0.6870645203334577,0.0,0,float16,none,hadamard,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9265744166043681,0.9552992078225406,0.0,0,float16,none,hadamard,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16306688711225825,0.9690742028382077,0.0,0,float16,none,hadamard,1536
3,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.38046786477312233,0.9728808023667052,0.0,0,float16,none,hadamard,1536
2,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9224515843621703,0.995325856360116,0.0,0,float16,none,hadamard,1536
4,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.11823081630921903,0.9929176842376344,0.0,0,float16,none,hadamard,1536
3,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2758594182333144,0.9933653643803906,0.0,0,float16,none,hadamard,1536
2,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7693433506736178,0.9970747563203699,0.0,0,float16,none,hadamard,1536
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.16532631611818224,0.622777854239257,0.01,136448,float16,low_rank,hadamard,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.3855997542383953,0.6805701659404692,0.01,136448,float16,low_rank,hadamard,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9265744166043681,0.9506262295928064,0.01,136448,float16,low_rank,hadamard,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16306688711225825,0.9539842868907701,0.01,136448,float16,low_rank,hadamard,1536
3,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.38046786477312233,0.9578521589414363,0.01,136448,float16,low_rank,hadamard,1536
2,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9224515843621703,0.9799678470737131,0.01,136448,float16,low_rank,hadamard,1536
4,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.11823081630921903,0.9768933826473111,0.01,136448,float16,low_rank,hadamard,1536
3,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2758594182333144,0.9773480404020226,0.01,136448,float16,low_rank,hadamard,1536
2,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7693433506736178,0.9810695969445904,0.01,136448,float16,low_rank,hadamard,1536
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.16532631611818224,0.6156915621054111,0.02,272896,float16,low_rank,hadamard,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.3855997542383953,0.6740982361828923,0.02,272896,float16,low_rank,hadamard,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9265744166043681,0.9459841451213593,0.02,272896,float16,low_rank,hadamard,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16306688711225825,0.944558391655222,0.02,272896,float16,low_rank,hadamard,1536
3,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.38046786477312233,0.9484631487897165,0.02,272896,float16,low_rank,hadamard,1536
2,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9224515843621703,0.9705960599347494,0.02,272896,float16,low_rank,hadamard,1536
4,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.11823081630921903,0.9670594193704816,0.02,272896,float16,low_rank,hadamard,1536
3,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2758594182333144,0.9675197083327189,0.02,272896,float16,low_rank,hadamard,1536
2,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7693433506736178,0.9712608870976471,0.02,272896,float16,low_rank,hadamard,1536
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.16532631611818224,0.6015242002210207,0.04,545792,float16,low_rank,hadamard,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.3855997542383953,0.6611853201778761,0.04,545792,float16,low_rank,hadamard,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9265744166043681,0.9368110943968345,0.04,545792,float16,low_rank,hadamard,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16306688711225825,0.9281367211456835,0.04,545792,float16,low_rank,hadamard,1536
