benchmark_drop_fraction,benchmark_drop_percent,benchmark_metric_effective,benchmark_metric_requested,candidate_index,factorized_rank_memory_ratio,family,loss_degradation,lossless_pass,lossless_threshold_percent,nll,nominal_bits,nominal_keep_fraction,nominal_memory_ratio,nominal_memory_saving,nominal_rank_fraction,order,perplexity,ppl_degradation,predicted_hessian_cost,q_method,r_method,s_method,selected_parameter_count,strategy,tokens,zero_shot_accuracy,zero_shot_accuracy_degradation
0.8735808094247366,87.35808094247366,ppl,ppl,383,1.0677083333333333,qsr_stack,0.627851471187562,False,1.0,4.5142687699926185,3,0.995,0.14925,0.85075,0.8,qsr,91.31077242782773,42.57480546632595,134.78014117479324,rtn,svd,wanda,3145728,lossless_frontier,254,nan,nan
0.9486193696406892,94.86193696406892,ppl,ppl,384,1.0677083333333333,qsr_stack,0.6671211062453861,False,1.0,4.553538405050443,3,0.995,0.14925,0.85075,0.8,rqs,94.96784921935105,46.23188225784927,142.82614761590958,rtn,svd,wanda,3145728,lossless_frontier,254,nan,nan
0.2019804049678212,20.19804049678212,ppl,ppl,385,1.0677083333333333,qsr_stack,0.18397053395669305,False,1.0,4.0703878327617495,3,0.995,0.14925,0.85075,0.8,qsr,58.579677304884264,9.843710343382483,90.66915118694305,rtn,whitened_svd,wanda,3145728,lossless_frontier,254,nan,nan
0.25165420257345633,25.165420257345634,ppl,ppl,386,1.0677083333333333,qsr_stack,0.22446603850116853,False,1.0,4.110883337306225,3,0.995,0.14925,0.85075,0.8,rqs,61.000577863844825,12.264610902343044,86.1141129732132,rtn,whitened_svd,wanda,3145728,lossless_frontier,254,nan,nan
0.5253590071566747,52.53590071566747,ppl,ppl,387,1.3255208333333333,qsr_stack,0.4222297968826898,False,1.0,4.308647095687746,3,0.8,0.14925000000000002,0.85075,0.995,qsr,74.33984617721686,25.603879215715075,123.37638258934021,rotated_rtn,svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.4911627690334473,49.11627690334473,ppl,ppl,388,1.3255208333333333,qsr_stack,0.39955619751937776,False,1.0,4.285973496324434,3,0.8,0.14925000000000002,0.85075,0.995,rqs,72.6732594458356,23.937292484333817,124.15985488891602,rotated_rtn,svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.4759662562365121,47.596625623651214,ppl,ppl,389,1.3255208333333333,qsr_stack,0.38931286428857037,False,1.0,4.275730163093627,3,0.8,0.14925000000000002,0.85075,0.995,qsr,71.93264270023413,23.196675738732345,121.96432009339333,rotated_rtn,whitened_svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.47221650543705274,47.22165054370527,ppl,ppl,390,1.3255208333333333,qsr_stack,0.386769091989112,False,1.0,4.2731863907941685,3,0.8,0.14925000000000002,0.85075,0.995,rqs,71.74989496915781,23.013928007656027,120.47482451796532,rotated_rtn,whitened_svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.4673128043946421,46.731280439464214,ppl,ppl,391,1.3255208333333333,qsr_stack,0.3834327036940208,False,1.0,4.269850002499077,3,0.8,0.14925000000000002,0.85075,0.995,qsr,71.5109083571658,22.774941395664023,123.7334631383419,rotated_rtn,svd,wanda,3145728,lossless_frontier,254,nan,nan
0.46974221395187377,46.97422139518738,ppl,ppl,392,1.3255208333333333,qsr_stack,0.3850870207538759,False,1.0,4.271504319558932,3,0.8,0.14925000000000002,0.85075,0.995,rqs,71.629307981083,22.89334101958122,124.79171758890152,rotated_rtn,svd,wanda,3145728,lossless_frontier,254,nan,nan
