accuracy,layer,loss,pair,perplexity,x,x_level,x_op,y,y_level,y_op
1.0,fc2,0.0012051383885019857,qs,1.0012058648595732,-0.5,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0008621837973394283,qs,1.0008625555846316,-0.375,bits2,q,0.125,keep0.45,s
1.0,fc2,0.000670024350941327,qs,1.0006702488673977,-0.25,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005658789011843339,qs,1.0005660390408548,-0.125,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005185449675800311,qs,1.0005186794352632,0.0,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005144150836579957,qs,1.0005145474177877,0.125,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005515226069610101,qs,1.000551674723518,0.25,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0006382243848954553,qs,1.000638428093413,0.375,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0007958940701663931,qs,1.0007962108778947,0.5,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0010662197219640528,qs,1.0010667883362832,0.625,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0015252983530022405,qs,1.001526462212204,0.75,bits2,q,0.125,keep0.45,s
1.0,fc2,0.002307840811958523,qs,1.0023105059263908,0.875,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0036467259526617077,qs,1.003653383347854,1.0,bits2,q,0.125,keep0.45,s
1.0,fc2,0.005929318828221347,qs,1.0059469320333334,1.125,bits2,q,0.125,keep0.45,s
1.0,fc2,0.00975152669806935,qs,1.0097992277611891,1.25,bits2,q,0.125,keep0.45,s
1.0,fc2,0.01591654242105181,qs,1.0160438853047657,1.375,bits2,q,0.125,keep0.45,s
0.9940403422982885,fc2,0.025332128979757538,qs,1.0256557139466806,1.5,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0012700701756334538,qs,1.0012708770563212,-0.5,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0009289802869549591,qs,1.0009294119227918,-0.375,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0007387217097804133,qs,1.000738994631863,-0.25,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0006384024633354254,qs,1.0006386062855592,-0.125,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0005983310321250288,qs,1.0005985100678427,0.0,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0006068782165901585,qs,1.000607062404433,0.125,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0006651064804538829,qs,1.0006653277128141,0.25,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0007865874388216468,qs,1.00078689687985,0.375,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0010017802310346973,qs,1.0010022821804507,0.5,bits2,q,0.25,keep0.45,s
1.0,fc2,0.001368453981204546,qs,1.0013693907416097,0.625,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0019908486512514663,qs,1.0019928317061966,0.75,bits2,q,0.25,keep0.45,s
1.0,fc2,0.003051342255911792,qs,1.0030560023393242,0.875,bits2,q,0.25,keep0.45,s
1.0,fc2,0.004858157508676384,qs,1.0048699774892234,1.0,bits2,q,0.25,keep0.45,s
1.0,fc2,0.007902644793241122,qs,1.007933953109097,1.125,bits2,q,0.25,keep0.45,s
1.0,fc2,0.01289041719255937,qs,1.0129738567584061,1.25,bits2,q,0.25,keep0.45,s
0.9980134474327629,fc2,0.020690651241607946,qs,1.0209061867225406,1.375,bits2,q,0.25,keep0.45,s
0.9920537897310513,fc2,0.03220585520518147,qs,1.0327300762866973,1.5,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0013619777575718162,qs,1.0013629056704956,-0.5,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0010190294545444417,qs,1.0010195488414675,-0.375,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0008292366980522652,qs,1.0008295806098577,-0.25,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0007331265525978906,qs,1.0007333953555537,-0.125,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0007025727314514753,qs,1.0007028195934824,0.0,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0007284214893187463,qs,1.00072868685268,0.125,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0008159075023419699,qs,1.0008162404454122,0.25,bits2,q,0.375,keep0.45,s
1.0,fc2,0.00098588576763504,qs,1.0009863719127565,0.375,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0012815671592659355,qs,1.001282388717381,0.5,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0017833000590938227,qs,1.0017848910842622,0.625,bits2,q,0.375,keep0.45,s
1.0,fc2,0.002634148552904502,qs,1.002637620970489,0.75,bits2,q,0.375,keep0.45,s
1.0,fc2,0.004079599006324642,qs,1.0040879318981164,0.875,bits2,q,0.375,keep0.45,s
1.0,fc2,0.006520205302605711,qs,1.0065415081156033,1.0,bits2,q,0.375,keep0.45,s
1.0,fc2,0.010558385666104576,qs,1.0106143221128967,1.125,bits2,q,0.375,keep0.45,s
1.0,fc2,0.01699110594165937,qs,1.0171362758156333,1.25,bits2,q,0.375,keep0.45,s
0.9960268948655256,fc2,0.02671784453986618,qs,1.0270779662197784,1.375,bits2,q,0.375,keep0.45,s
0.9920537897310513,fc2,0.04060819861649884,qs,1.041443986405166,1.5,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0014868252899288257,qs,1.001487931162662,-0.5,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0011383013430900854,qs,1.0011389494539558,-0.375,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0009478178458210892,qs,1.0009482671671026,-0.25,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0008570020471888532,qs,1.0008573693783702,-0.125,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0008395594968244178,qs,1.0008399120255482,0.0,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0008895751680896452,qs,1.0008899709574322,0.125,bits2,q,0.5,keep0.45,s
1.0,fc2,0.001018183631480906,qs,1.0010187021564043,0.25,bits2,q,0.5,keep0.45,s
1.0,fc2,0.001256440996140023,qs,1.001257230648811,0.375,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0016656722714054263,qs,1.0016670602740088,0.5,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0023577350321565107,qs,1.0023605166750935,0.625,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0035282031594249612,qs,1.0035344345946267,0.75,bits2,q,0.5,keep0.45,s
1.0,fc2,0.005502741337551173,qs,1.005517909227561,0.875,bits2,q,0.5,keep0.45,s
1.0,fc2,0.008786978049791238,qs,1.008825696865452,1.0,bits2,q,0.5,keep0.45,s
1.0,fc2,0.01408805062397768,qs,1.0141877548718004,1.125,bits2,q,0.5,keep0.45,s
0.9980134474327629,fc2,0.022264242500139624,qs,1.022513940415568,1.25,bits2,q,0.5,keep0.45,s
0.9920537897310513,fc2,0.03421288393528945,qs,1.0348048766157165,1.375,bits2,q,0.5,keep0.45,s
0.9920537897310513,fc2,0.050742487525590185,qs,1.0520519418992544,1.5,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0016528829877563095,qs,1.0016542497517718,-0.5,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0012949903411358084,qs,1.0012958292031946,-0.375,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0011031203595853085,qs,1.0011037290206375,-0.25,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0010197971444258188,qs,1.0010203173143413,-0.125,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0010209976807054506,qs,1.0010215190762703,0.0,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0011054035276174545,qs,1.0011060147112776,0.125,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0012923869780267071,qs,1.0012932224699647,0.25,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0016276157076281557,qs,1.0016289409929948,0.375,bits2,q,0.625,keep0.45,s
1.0,fc2,0.002197930256865718,qs,1.0022003474762082,0.5,bits2,q,0.625,keep0.45,s
1.0,fc2,0.003158535553292715,qs,1.0031635289826375,0.625,bits2,q,0.625,keep0.45,s
1.0,fc2,0.004773694147471985,qs,1.0047851063776514,0.75,bits2,q,0.625,keep0.45,s
1.0,fc2,0.007464840598313325,qs,1.0074927719787372,0.875,bits2,q,0.625,keep0.45,s
1.0,fc2,0.011845681825447782,qs,1.0119161197681201,1.0,bits2,q,0.625,keep0.45,s
0.9980134474327629,fc2,0.018707572393720482,qs,1.0188836553403926,1.125,bits2,q,0.625,keep0.45,s
0.9940403422982885,fc2,0.02893688039703882,qs,1.029359619654063,1.25,bits2,q,0.625,keep0.45,s
0.9920537897310513,fc2,0.043399065660089615,qs,1.0443545777521024,1.375,bits2,q,0.625,keep0.45,s
0.9860941320293398,fc2,0.06280693448260244,qs,1.0648212391213314,1.5,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0018715208173162487,qs,1.0018732732054407,-0.5,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0015004511881610584,qs,1.001501577428264,-0.375,bits2,q,0.75,keep0.45,s
1.0,fc2,0.001307224449508056,qs,1.0013080792398157,-0.25,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0012352467585163768,qs,1.001236009990021,-0.125,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0012636100668414589,qs,1.0012644087584182,0.0,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0013975029956995713,qs,1.0013984799580606,0.125,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0016681057216558597,qs,1.0016694977839333,0.25,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0021418105073109234,qs,1.0021441058218525,0.375,bits2,q,0.75,keep0.45,s
1.0,fc2,0.0029410597182864956,qs,1.0029453888774846,0.5,bits2,q,0.75,keep0.45,s
1.0,fc2,0.004279116309796685,qs,1.0042882848010084,0.625,bits2,q,0.75,keep0.45,s
1.0,fc2,0.006505556459240342,qs,1.006526763554706,0.75,bits2,q,0.75,keep0.45,s
1.0,fc2,0.010146975335107165,qs,1.0101986304559099,0.875,bits2,q,0.75,keep0.45,s
1.0,fc2,0.01591474276883095,qs,1.0160420567807764,1.0,bits2,q,0.75,keep0.45,s
0.9980134474327629,fc2,0.024655232511114667,qs,1.0249616861348538,1.125,bits2,q,0.75,keep0.45,s
0.9940403422982885,fc2,0.037251275151166476,qs,1.037953800071131,1.25,bits2,q,0.75,keep0.45,s
0.988080684596577,fc2,0.0545039837109722,qs,1.0560166832705933,1.375,bits2,q,0.75,keep0.45,s
0.9672982885085575,fc2,0.07699685181265646,qs,1.080038676223157,1.5,bits2,q,0.75,keep0.45,s
1.0,fc2,0.002158368379788469,qs,1.0021606993335372,-0.5,bits2,q,0.875,keep0.45,s
1.0,fc2,0.0017704553127944615,qs,1.0017720234941303,-0.375,bits2,q,0.875,keep0.45,s
1.0,fc2,0.0015771359473940505,qs,1.001578380280367,-0.25,bits2,q,0.875,keep0.45,s
1.0,fc2,0.0015228715085385772,qs,1.0015240316662033,-0.125,bits2,q,0.875,keep0.45,s
1.0,fc2,0.0015913314233855105,qs,1.0015925982631333,0.0,bits2,q,0.875,keep0.45,s
1.0,fc2,0.001797038125908025,qs,1.0017986537665653,0.125,bits2,q,0.875,keep0.45,s
1.0,fc2,0.0021880822470252263,qs,1.0021904778459223,0.25,bits2,q,0.875,keep0.45,s
1.0,fc2,0.002860020386159857,qs,1.00286411414628,0.375,bits2,q,0.875,keep0.45,s
1.0,fc2,0.003983820932017853,qs,1.0039917668948874,0.5,bits2,q,0.875,keep0.45,s
1.0,fc2,0.00584725463594376,qs,1.00586438319808,0.625,bits2,q,0.875,keep0.45,s
1.0,fc2,0.008898602211096467,qs,1.0089383124729623,0.75,bits2,q,0.875,keep0.45,s
1.0,fc2,0.013767986487788502,qs,1.0138632016857918,0.875,bits2,q,0.875,keep0.45,s
0.9980134474327629,fc2,0.02124233715108671,qs,1.021469561669376,1.0,bits2,q,0.875,keep0.45,s
0.9960268948655256,fc2,0.032191924441123065,qs,1.032715689667877,1.125,bits2,q,0.875,keep0.45,s
0.988080684596577,fc2,0.047463971347272545,qs,1.0486084204920678,1.25,bits2,q,0.875,keep0.45,s
0.9796760391198044,fc2,0.06776123772623487,qs,1.0701097761309188,1.375,bits2,q,0.875,keep0.45,s
0.9611858190709046,fc2,0.09352058755156463,qs,1.0980332089239104,1.5,bits2,q,0.875,keep0.45,s
1.0,fc2,0.0025351320536839057,qs,1.0025383482181751,-0.5,bits2,q,1.0,keep0.45,s
1.0,fc2,0.0021271414754224583,qs,1.0021294054458278,-0.375,bits2,q,1.0,keep0.45,s
1.0,fc2,0.0019368986191551376,qs,1.0019387756189426,-0.25,bits2,q,1.0,keep0.45,s
1.0,fc2,0.001910639785612708,qs,1.0019124662208425,-0.125,bits2,q,1.0,keep0.45,s
1.0,fc2,0.0020387157715838814,qs,1.002040795365576,0.0,bits2,q,1.0,keep0.45,s
1.0,fc2,0.002349204285876384,qs,1.002351965828317,0.125,bits2,q,1.0,keep0.45,s
1.0,fc2,0.0029141053302363835,qs,1.002918355462616,0.25,bits2,q,1.0,keep0.45,s
1.0,fc2,0.00386926974454544,qs,1.0038767650327027,0.375,bits2,q,1.0,keep0.45,s
1.0,fc2,0.005449558319045746,qs,1.005464434171982,0.5,bits2,q,1.0,keep0.45,s
1.0,fc2,0.00803282787718225,qs,1.0080651776009408,0.625,bits2,q,1.0,keep0.45,s
1.0,fc2,0.012171466695941748,qs,1.0122458404362358,0.75,bits2,q,1.0,keep0.45,s
1.0,fc2,0.01858497839102244,qs,1.0187587539710368,0.875,bits2,q,1.0,keep0.45,s
0.9960268948655256,fc2,0.028108009280668787,qs,1.0285067666983927,1.0,bits2,q,1.0,keep0.45,s
0.9920537897310513,fc2,0.041603303188799644,qs,1.0424808478850713,1.125,bits2,q,1.0,keep0.45,s
0.9859413202933985,fc2,0.059848388278979835,qs,1.061675571882227,1.25,bits2,q,1.0,keep0.45,s
0.9674511002444988,fc2,0.08342230815467741,qs,1.087000760917229,1.375,bits2,q,1.0,keep0.45,s
0.9550733496332519,fc2,0.11262264534430283,qs,1.119209514331849,1.5,bits2,q,1.0,keep0.45,s
1.0,fc2,0.0030321579900158065,qs,1.0030367596308458,-0.5,bits2,q,1.125,keep0.45,s
1.0,fc2,0.002601797330423206,qs,1.0026051849424205,-0.375,bits2,q,1.125,keep0.45,s
1.0,fc2,0.002420919284698141,qs,1.0024238520759958,-0.25,bits2,q,1.125,keep0.45,s
1.0,fc2,0.0024387985376827875,qs,1.0024417748258672,-0.125,bits2,q,1.125,keep0.45,s
1.0,fc2,0.002655774851336456,qs,1.0026593045453662,0.0,bits2,q,1.125,keep0.45,s
1.0,fc2,0.0031193427532036906,qs,1.0031242129654467,0.125,bits2,q,1.125,keep0.45,s
1.0,fc2,0.0039348095145377085,qs,1.0039425610410877,0.25,bits2,q,1.125,keep0.45,s
1.0,fc2,0.005292028143163998,qs,1.0053060556578493,0.375,bits2,q,1.125,keep0.45,s
1.0,fc2,0.007505931998523349,qs,1.0075341721180284,0.5,bits2,q,1.125,keep0.45,s
1.0,fc2,0.01105517861239776,qs,1.01111651291164,0.625,bits2,q,1.125,keep0.45,s
1.0,fc2,0.01658996804856438,qs,1.0167283457365384,0.75,bits2,q,1.125,keep0.45,s
0.9980134474327629,fc2,0.024896292931293217,qs,1.0252087936123,0.875,bits2,q,1.125,keep0.45,s
0.9940403422982885,fc2,0.03682713090353315,qs,1.0375136512874077,1.0,bits2,q,1.125,keep0.45,s
0.9879278728606357,fc2,0.05320374817020444,qs,1.0546445051180808,1.125,bits2,q,1.125,keep0.45,s
0.9776894865525673,fc2,0.07470308218725154,qs,1.077564155388687,1.25,bits2,q,1.125,keep0.45,s
0.9611858190709046,fc2,0.10177347829114546,qs,1.1071326537404924,1.375,bits2,q,1.125,keep0.45,s
0.9550733496332519,fc2,0.13459954897174042,qs,1.1440785451764381,1.5,bits2,q,1.125,keep0.45,s
1.0,fc2,0.003692212771888467,qs,1.0036990373861894,-0.5,bits2,q,1.25,keep0.45,s
1.0,fc2,0.003238955457993125,qs,1.0032442065420344,-0.375,bits2,q,1.25,keep0.45,s
1.0,fc2,0.003078529356197798,qs,1.003083272894154,-0.25,bits2,q,1.25,keep0.45,s
1.0,fc2,0.003165497264681352,qs,1.0031705127419113,-0.125,bits2,q,1.25,keep0.45,s
1.0,fc2,0.0035149574024753057,qs,1.00352114210945,0.0,bits2,q,1.25,keep0.45,s
1.0,fc2,0.00420167867303769,qs,1.0042105181006824,0.125,bits2,q,1.25,keep0.45,s
1.0,fc2,0.005376119995466946,qs,1.005390597260781,0.25,bits2,q,1.25,keep0.45,s
1.0,fc2,0.0072976169438263025,qs,1.0073243094413908,0.375,bits2,q,1.25,keep0.45,s
1.0,fc2,0.010375376071207098,qs,1.010429386918183,0.5,bits2,q,1.25,keep0.45,s
1.0,fc2,0.01518996201983874,qs,1.015305915860464,0.625,bits2,q,1.25,keep0.45,s
0.9980134474327629,fc2,0.022472119236633656,qs,1.0227265193708657,0.75,bits2,q,1.25,keep0.45,s
0.9960268948655256,fc2,0.033047726072717123,qs,1.0335998677266163,0.875,bits2,q,1.25,keep0.45,s
0.9900672371638142,fc2,0.047755711891831865,qs,1.0489143867128974,1.0,bits2,q,1.25,keep0.45,s
0.98380195599022,fc2,0.06734106010213166,qs,1.0696602343979569,1.125,bits2,q,1.25,keep0.45,s
0.9654645476772616,fc2,0.0923612610343616,qs,1.096760967522127,1.25,bits2,q,1.25,keep0.45,s
0.9550733496332519,fc2,0.12314615476976688,qs,1.1310497171787879,1.375,bits2,q,1.25,keep0.45,s
0.9425427872860636,fc2,0.15979876028587883,qs,1.1732747377601027,1.5,bits2,q,1.25,keep0.45,s
1.0,fc2,0.004575889202376741,qs,1.0045863745705668,-0.5,bits2,q,1.375,keep0.45,s
1.0,fc2,0.0041023184588602525,qs,1.0041107444853705,-0.375,bits2,q,1.375,keep0.45,s
1.0,fc2,0.003980870834554028,qs,1.003988805025691,-0.25,bits2,q,1.375,keep0.45,s
1.0,fc2,0.00417495695623617,qs,1.0041836842301337,-0.125,bits2,q,1.375,keep0.45,s
1.0,fc2,0.0047209263030066175,qs,1.004732087432297,0.0,bits2,q,1.375,keep0.45,s
1.0,fc2,0.005730825469517183,qs,1.005747278063765,0.125,bits2,q,1.375,keep0.45,s
1.0,fc2,0.00741422713750149,qs,1.0074417805732412,0.25,bits2,q,1.375,keep0.45,s
