adapter_module,budget_per_module,cols,effective_rank,frobenius_norm,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,method,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,params,participation_ratio,rank,rank_90,rank_95,rank_99,requested_rank,rows,sigma_max,sigma_min_positive,spectral_entropy,stable_rank,task_condition,top_10_energy,top_1_energy
model.layers.0.mlp.down_proj,131072,8960,1340.5421252248516,14.003406238317098,1.0941826788023699,0,0.01198103617246172,structured_lora,1.0106957475166918,0,0.010610151453888121,13762560,1197.3170792758442,1536,1172,1328,1487,4,1536,0.6250156164169312,0.1833210587501526,0.9814489979787266,501.9791033835721,natural,0.01778864847625446,0.00199211479772671
model.layers.14.mlp.down_proj,131072,8960,1305.3452859894976,14.408207434422382,1.1065860122739497,0,0.011998897592187288,structured_lora,1.0046118968098467,0,0.010564985228766848,13762560,1127.1689632003438,1536,1166,1323,1484,4,1536,0.677466869354248,0.16476796567440033,0.9778226194532693,452.3179073131631,natural,0.02099543117785418,0.0022108344238240566
model.layers.27.mlp.down_proj,131072,8960,1228.1384205730378,12.687296355740257,1.1162401459268672,0,0.013149961006552014,structured_lora,1.0090511690118036,0,0.010606609101933085,13762560,1014.2093577081661,1536,1116,1291,1476,4,1536,0.6241232752799988,0.14191968739032745,0.9695128779697242,413.2352977600729,natural,0.022731020223582594,0.002419928804292528
model.layers.0.mlp.down_proj,131072,8960,1372.1542985687363,14.354864096435799,1.0873241961198612,0,0.01189143515660208,structured_lora,1.0098585771526312,0,0.0106049773764775,13762560,1249.7890802776658,1536,1195,1343,1489,8,1536,0.5765028595924377,0.18171781301498413,0.9846257844985935,620.005066904513,natural,0.01519260579800012,0.0016128900445808937
model.layers.14.mlp.down_proj,131072,8960,1341.1602341344892,14.739792258697417,1.0559602505017212,0,0.010952681395192286,structured_lora,1.008420085981826,0,0.010572360066647022,13762560,1189.4314532287717,1536,1182,1334,1486,8,1536,0.6861698031425476,0.18337589502334595,0.9815118283531993,461.4445508004301,natural,0.020068647656845635,0.0021671076151303158
model.layers.27.mlp.down_proj,131072,8960,1245.6503706342385,13.026461169403186,1.139852250357733,0,0.012859071550493437,structured_lora,1.016864617464513,55,0.010673965886263197,13762560,1044.0583374578498,1536,1120,1294,1475,8,1536,0.668482780456543,0.1215825304389,0.9714425982371672,379.7278488964999,natural,0.02352907389090454,0.0026334650010686046
model.layers.0.mlp.down_proj,131072,8960,1400.2142461803428,14.907724368567283,1.039093550580406,0,0.01079292562239073,structured_lora,1.0035372428084226,0,0.010483257129838348,13762560,1287.2896107505321,1536,1224,1359,1492,16,1536,0.6412296891212463,0.20187819004058838,0.9873848749259738,540.4997091713572,natural,0.016804850091084407,0.0018501397559179172
model.layers.14.mlp.down_proj,131072,8960,1381.0633367878117,15.276395631997293,1.045670472708576,0,0.010877506291899033,structured_lora,1.0028436051499137,0,0.010460196587227483,13762560,1244.732479943133,1536,1213,1349,1487,16,1536,0.8537706136703491,0.18908818066120148,0.9855078625301594,320.15433710456193,natural,0.021124179828647716,0.0031234935282897685
model.layers.27.mlp.down_proj,131072,8960,1336.3856361145872,13.768408496490222,1.158427074092278,0,0.012815147958396852,structured_lora,1.0059440905367865,0,0.010543603491525118,13762560,1167.377259445702,1536,1186,1333,1485,16,1536,0.7721891403198242,0.15454532206058502,0.9810257396085958,317.9216516705736,natural,0.023705221687389495,0.0031454290538103623
model.layers.0.mlp.down_proj,131072,8960,1112.8736689431094,13.262345667723825,1.0942301210300471,0,0.012009758031067047,structured_lora,1.0118516212982271,0,0.010752428887860377,13762560,845.168701471293,1536,1059,1255,1468,4,1536,0.8233388066291809,0.14380936324596405,0.9560802992233814,259.467827186975,structured,0.033243037258301154,0.0038540423714243013
model.layers.14.mlp.down_proj,131072,8960,1173.8191596481577,20.229532059405027,1.0292005809803288,0,0.010608048093116329,structured_lora,1.015496225478828,0,0.0107225918465154,13762560,935.9662193208018,1536,1078,1266,1469,4,1536,1.239342212677002,0.2092752903699875,0.9633472433897323,266.43372056183694,structured,0.028229287947348317,0.0037532786686732796
model.layers.27.mlp.down_proj,131072,8960,1104.855007212337,19.311721897976355,1.1485153194266404,0,0.013484051459125353,structured_lora,1.0137825019733266,0,0.010671587726664395,13762560,869.0409854206384,1536,1007,1205,1449,4,1536,1.0425844192504883,0.15440163016319275,0.9550946767796052,343.0990665847237,structured,0.027299588213775452,0.0029146100861019496
model.layers.0.mlp.down_proj,131072,8960,1301.8161222437025,16.243915413126466,1.0792941578117354,0,0.011702081856139194,structured_lora,1.0050884684115615,0,0.010555395031010372,13762560,1133.6991399224396,1536,1150,1314,1480,8,1536,0.8088258504867554,0.17646464705467224,0.9774536254006881,403.34009151054437,structured,0.019844400416282326,0.0024792973003375674
model.layers.14.mlp.down_proj,131072,8960,1268.356133787949,22.113478096869866,1.0339706257460985,0,0.010773784966426338,structured_lora,1.002425836463025,0,0.010464214226981034,13762560,1079.5616294882093,1536,1130,1301,1475,8,1536,1.1980825662612915,0.224126398563385,0.9739046474314822,340.6752739335949,structured,0.023660214074808828,0.002935346579320347
model.layers.27.mlp.down_proj,131072,8960,1200.9711246069207,21.88491714479814,1.150350775316895,0,0.013191422474486389,structured_lora,1.0035416330850278,0,0.010551059430651905,13762560,990.117629309081,1536,1076,1260,1462,8,1536,1.2561535835266113,0.2271186262369156,0.96646405201483,303.5318928497734,structured,0.026533461623550414,0.003294546713399006
model.layers.0.mlp.down_proj,131072,8960,1376.1245776200933,19.078271016062075,1.0477958000583911,0,0.010978160489959995,structured_lora,1.0015618806048128,0,0.010443801569419996,13762560,1249.593232542731,1536,1203,1343,1486,16,1536,0.800666093826294,0.2235037386417389,0.9850195845290682,567.7735442623167,structured,0.01675546374068086,0.0017612655786899266
model.layers.14.mlp.down_proj,131072,8960,1379.2943217682957,25.820117704285522,1.0336867998157258,0,0.010669836129666786,structured_lora,1.0055262254977217,0,0.010514740174264441,13762560,1248.2964378631636,1536,1210,1350,1490,16,1536,1.1431045532226562,0.32884594798088074,0.9853331671446661,510.2047835933116,structured,0.018511965424930173,0.0019599973033516444
model.layers.27.mlp.down_proj,131072,8960,1326.7311352246159,26.801937959478447,1.0772360596687829,0,0.011508280795682349,structured_lora,1.0040113400004338,0,0.010494648791115294,13762560,1155.6469148262024,1536,1177,1326,1479,16,1536,1.4774545431137085,0.24528351426124573,0.9800375125736925,329.0820086644875,structured,0.0237972229029644,0.0030387562178142064
model.layers.0.mlp.down_proj,65536,8960,1.353433892706627,0.07614473313393195,4.042518912239526,0,0.061117002247087736,lora,3.4676630054969224,0,0.054405055250801006,13762560,1.1405196631045558,1536,1,2,3,4,1536,0.07364694029092789,1.1983361503098422e-07,0.0412495010792935,1.0689818238037276,natural,0.999997334402801,0.9354696008223305
model.layers.14.mlp.down_proj,65536,8960,1.0281201687190096,0.31516138129375865,2.8060618688387153,0,0.041756354249095774,lora,2.783182974494869,0,0.04486361782197218,13762560,1.0072688113591595,1536,1,1,1,4,1536,0.3145908713340759,2.652462569585623e-07,0.0037797866014710317,1.0036302850533219,natural,0.9999973335787953,0.9963828462458872
model.layers.27.mlp.down_proj,65536,8960,1.0994022280076454,0.17072425351430237,4.928794937517405,0,0.06938416786955641,lora,4.144797829472821,0,0.06283352429590545,13762560,1.0318096116412974,1536,1,1,2,4,1536,0.16938836872577667,3.3812892752393964e-07,0.012916371521773986,1.0158352375642694,natural,0.9999973475287655,0.984411608321209
model.layers.0.mlp.down_proj,65536,8960,2.612791004696362,0.0664720369298911,2.925982273565773,0,0.04447960265364321,lora,2.425647689752924,0,0.04360041056915215,13762560,2.2451590926193434,1536,2,3,5,8,1536,0.04814862832427025,5.768852133769542e-07,0.13090190248885764,1.9059439988561058,natural,0.9999949456121114,0.5246743873902759
model.layers.14.mlp.down_proj,65536,8960,1.025948169330207,0.31152460903039714,2.7180322465562576,0,0.03882812697736155,lora,2.8064854164783504,0,0.04217927584444484,13762560,1.006207095129032,1536,1,1,1,8,1536,0.3110428750514984,4.22072389483219e-07,0.0034915426630776772,1.0030999393666722,natural,0.9999949372233302,0.9969096405602124
model.layers.27.mlp.down_proj,65536,8960,1.4666228885802821,0.1524103728198763,4.2013863340247175,0,0.06013447281135588,lora,3.4296023819683454,0,0.05513625445993282,13762560,1.2388948320490258,1536,2,2,2,8,1536,0.1440354436635971,5.055685505794827e-07,0.052196496660598626,1.1196706688904199,natural,0.9999949607938038,0.8931197608230533
model.layers.0.mlp.down_proj,65536,8960,2.1530094156276376,0.06755476948821725,3.219011411162149,0,0.04908525533699434,lora,3.234615431509677,0,0.0484296186472194,13762560,1.6133924835080027,1536,2,3,5,16,1536,0.059334155172109604,5.407426328929432e-07,0.10452135552636331,1.2962910027803896,natural,0.9999949582244312,0.7714317216235547
model.layers.14.mlp.down_proj,65536,8960,1.10287298765078,0.2501435635910507,2.795810729486876,0,0.04062441501977418,lora,2.8486588243725675,0,0.044331172304700184,13762560,1.0316130786562099,1536,1,1,2,16,1536,0.2481985092163086,5.9543151564867e-07,0.013345975721296944,1.0157347904580298,natural,0.9999949326458748,0.9845089578442671
