adapter_params,budget_per_module,method,modules,nll,perplexity,rank,requested_rank,seed,task_condition,tokens,train_loss_first,train_loss_last,train_steps,within_budget
189036,65536,mora,"down_proj,down_proj,down_proj",2.6155583989901805,13.674850268897933,6,8,49,structured,2032,0.9808287620544434,0.5658853054046631,40,True
189036,65536,mora,"down_proj,down_proj,down_proj",2.6129227360402507,13.638855428668919,6,16,50,structured,2032,0.9808287620544434,0.5601460337638855,40,True
126000,131072,mora,"down_proj,down_proj,down_proj",2.4860594216294176,12.013841238459198,4,4,51,natural,2032,2.0345776081085205,2.947214126586914,40,True
252096,131072,mora,"down_proj,down_proj,down_proj",2.478882707010104,11.927929977450098,8,8,52,natural,2032,2.0345776081085205,2.9457151889801025,40,True
378288,131072,mora,"down_proj,down_proj,down_proj",2.4788081176637666,11.92704031413004,12,16,53,natural,2032,2.0345776081085205,2.947557210922241,40,True
126000,131072,mora,"down_proj,down_proj,down_proj",2.608848962258166,13.583406836200776,4,4,54,structured,2032,0.9808287620544434,0.5797635912895203,40,True
252096,131072,mora,"down_proj,down_proj,down_proj",2.617241987093227,13.697892475471319,8,8,55,structured,2032,0.9808287620544434,0.5668481588363647,40,True
378288,131072,mora,"down_proj,down_proj,down_proj",2.631216499749131,13.890657609598664,12,16,56,structured,2032,0.9808287620544434,0.5439856052398682,40,True
196608,65536,fourierft,"down_proj,down_proj,down_proj",2.4731400782667747,11.85962860632392,,,57,natural,2032,2.0345776081085205,2.9446349143981934,40,True
196608,65536,fourierft,"down_proj,down_proj,down_proj",2.559125532315472,12.9245103058555,,,58,structured,2032,0.9808287620544434,0.7082076072692871,40,True
393216,131072,fourierft,"down_proj,down_proj,down_proj",2.3986744692945106,11.008574501634524,,,59,natural,2032,2.0345776081085205,2.9348835945129395,40,True
393216,131072,fourierft,"down_proj,down_proj,down_proj",2.5690931635578784,13.053981245917178,,,60,structured,2032,0.9808287620544434,0.5477705597877502,40,True
161280,65536,bca,"down_proj,down_proj,down_proj",1.8763763322604923,6.5298001130475445,,,61,natural,2032,2.0345776081085205,2.839047431945801,40,True
161280,65536,bca,"down_proj,down_proj,down_proj",4.152308246282142,63.58059071177536,,,62,structured,2032,0.9808287620544434,0.19023723900318146,40,True
322560,131072,bca,"down_proj,down_proj,down_proj",1.7514168746828094,5.762762005855926,,,63,natural,2032,2.0345776081085205,2.8066937923431396,40,True
322560,131072,bca,"down_proj,down_proj,down_proj",4.28482261417419,72.58966919922716,,,64,structured,2032,0.9808287620544434,0.051475513726472855,40,True
