block_size,compression_ratio_actual,compression_ratio_target,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_activation_error,relative_activation_error_after_residual,relative_weight_error,relative_weight_error_after_residual,residual_channels,residual_fraction,residual_params,residual_rank,residual_type,samples,terms
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.7994941304077373,0.8908337871436908,0.8486245310592953,0,0.01,137625,0,sparse,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8572544796939802,0.8908337871436908,0.8853603907126125,89,0.01,136704,0,channel_in,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8727409421122342,0.8908337871436908,0.8908337871436908,0,0.02,0,0,none,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8601695076902875,0.8908337871436908,0.8759270206353464,0,0.02,272896,26,low_rank,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.7653772634132955,0.8908337871436908,0.8191989899044704,0,0.02,275251,0,sparse,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8452114205350404,0.8908337871436908,0.8800732934433348,179,0.02,274944,0,channel_in,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8727409421122342,0.8908337871436908,0.8908337871436908,0,0.04,0,0,none,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8471004268005689,0.8908337871436908,0.8611254565881957,0,0.04,545792,52,low_rank,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.7125961608706525,0.8908337871436908,0.7706808075416478,0,0.04,550502,0,sparse,2048,
,8.044291485859643,8.0,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8727409421122342,0.8285675273132582,0.8908337871436908,0.8696931182910221,358,0.04,549888,0,channel_in,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.0,0,0,none,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.01,0,0,none,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9245435488674224,0.9682182703296197,0.9531041469741884,0,0.01,136448,13,low_rank,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.8790617813070047,0.9682182703296197,0.9226128211994746,0,0.01,137625,0,sparse,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9491420205197785,0.9682182703296197,0.9618449093983323,15,0.01,134400,0,channel_out,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.02,0,0,none,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.913959723564062,0.9682182703296197,0.9436667471252174,0,0.02,272896,26,low_rank,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.842143408597593,0.9682182703296197,0.8907939523883666,0,0.02,275251,0,sparse,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9448182242191132,0.9682182703296197,0.9565545198845048,30,0.02,268800,0,channel_out,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9626605245321859,0.9682182703296197,0.9682182703296197,0,0.04,0,0,none,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.8971894701328162,0.9682182703296197,0.9272316923627779,0,0.04,545792,52,low_rank,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.7848463360807986,0.9682182703296197,0.838268016521708,0,0.04,550502,0,sparse,2048,
16,16.0,8.0,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9626605245321859,0.9355614661324192,0.9682182703296197,0.9456337983309151,61,0.04,546560,0,channel_out,2048,
64,35.0,8.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.0,0,0,none,2048,2
64,35.0,8.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9896526149085243,0.9928578695453842,0.9928578695453842,0,0.01,0,0,none,2048,2
64,35.0,8.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.94896470511667,0.9928578695453842,0.9768173611882793,0,0.01,136448,13,low_rank,2048,2
64,35.0,8.0,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9896526149085243,0.9009006328734631,0.9928578695453842,0.945127504228198,0,0.01,137625,0,sparse,2048,2
