comfort_tolerance,deployable,epsilon,hessian_cost,nll,nll_delta,normalized_hessian_cost,path_kind,payload_ratio_at_codec_endpoint,perplexity,perplexity_delta,strategy,target_ratio,taylor_fit_absolute_error,taylor_fit_nll_delta,tokens,within_local_comfort_fit
0.006139424842173647,False,0.625,11.8091164593352,4.298329526045191,0.030697124210868232,0.002288008638812721,noncodec_interpolation,0.2579994201660156,73.57678288553134,2.2242814597002933,Q+S_OBS,0.258,0.0021182281401100136,0.028578896070758218,2032,True
0.009649144570658486,False,0.75,17.00512770144269,4.3158781246876154,0.04824572285329243,0.0032947324398903176,noncodec_interpolation,0.2579994201660156,74.87934798660743,3.5268465607763773,Q+S_OBS,0.258,0.004037214264151823,0.044208508589140605,2032,True
0.013985533226193426,False,0.875,23.145868260296993,4.33756006796529,0.06992766613096713,0.004484496932072933,noncodec_interpolation,0.2579994201660156,76.52060630045254,5.168104874621491,Q+S_OBS,0.258,0.006784933922033873,0.06314273220893325,2032,True
0.01911530081681381,True,1.0,30.231338135898113,4.363208905918392,0.09557650408406904,0.005857302115360565,codec_endpoint,0.2579994201660156,78.50865754608051,7.156156120249463,Q+S_OBS,0.258,0.010194937153932895,0.08538156693013614,2032,True
0.0001,False,0.0,0.0,4.267632401834323,0.0,0.0,noncodec_interpolation,0.25732421875,71.35250142583105,0.0,Q+L,0.258,0.0,0.0,2032,True
0.0001,False,0.03125,0.023352605232503265,4.26718710351178,-0.00044529832254269763,4.52455208607186e-06,noncodec_interpolation,0.25732421875,71.32073534985199,-0.03176607597906411,Q+L,0.258,1.0764383864046907e-05,-0.0004345339386786507,2032,True
0.0001329905011189886,False,0.0625,0.09341042093001306,4.26697705486628,-0.0006553469680428137,1.809820834428744e-05,noncodec_interpolation,0.25732421875,71.3057560992364,-0.04674532659464603,Q+L,0.258,9.605537552129315e-06,-0.000664952505594943,2032,True
0.00013865974005753401,False,0.09375,0.2101734470925294,4.266939103134035,-0.00069329870028767,4.0720968774646736e-05,noncodec_interpolation,0.25732421875,71.30304997362481,-0.0494514522062417,Q+L,0.258,2.042999538793156e-06,-0.0006912557007488769,2032,True
0.00010280458945928218,False,0.125,0.37364168372005224,4.267118378887027,-0.0005140229472964108,7.239283337714975e-05,noncodec_interpolation,0.25732421875,71.31583402750061,-0.03666739833043664,Q+L,0.258,5.794231559585247e-07,-0.0005134435241404523,2032,True
0.0001,False,0.1875,0.8406937883701175,4.268038396760235,0.00040599492591208985,0.00016288387509858694,noncodec_interpolation,0.25732421875,71.38147606074045,0.028974634909403107,Q+L,0.258,4.853201845138235e-05,0.0004545269443634722,2032,True
0.0004477917799833661,False,0.25,1.494566734880209,4.269714400524229,0.002081998689906328,0.000289571333508599,noncodec_interpolation,0.25732421875,71.50121199420724,0.14871056837618823,Q+L,0.258,0.0001569602100105023,0.0022389588999168304,2032,True
0.0016514414544343697,False,0.375,3.36277515348047,4.275549115158442,0.007916713324118696,0.0006515355003943478,noncodec_interpolation,0.25732421875,71.91962062264653,0.567119196815483,Q+L,0.258,0.00034049394805315235,0.008257207272171848,2032,True
0.0035082603185249204,False,0.5,5.978266939520836,4.284802504411832,0.017170102577509283,0.001158285334034396,noncodec_interpolation,0.25732421875,72.58820945290758,1.2357080270765266,Q+L,0.258,0.00037119901511531786,0.0175413015926246,2032,True
0.006018248372255017,False,0.625,9.341042093001306,4.297631721796952,0.029999319962628945,0.001809820834428744,noncodec_interpolation,0.25732421875,73.52545860309581,2.172957177264763,Q+L,0.258,9.192189864613842e-05,0.030091241861275084,2032,True
