block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
,2.0131061598951505,2.0,True,1536,0,low_rank,v_proj,model.layers.0.self_attn.v_proj,256,393216,195328,109,0.6536529301087858,
16,16.0,2.0,True,1536,0,block_circulant,v_proj,model.layers.0.self_attn.v_proj,256,393216,24576,0,0.9683640868166337,
64,6.0,2.0,True,1536,0,monarch_like,v_proj,model.layers.0.self_attn.v_proj,256,393216,65536,64,0.9573090600809763,2
,4.063492063492063,4.0,True,1536,0,low_rank,v_proj,model.layers.0.self_attn.v_proj,256,393216,96768,54,0.8232131615066108,
16,16.0,4.0,True,1536,0,block_circulant,v_proj,model.layers.0.self_attn.v_proj,256,393216,24576,0,0.9683640868166337,
64,6.0,4.0,True,1536,0,monarch_like,v_proj,model.layers.0.self_attn.v_proj,256,393216,65536,64,0.9573090600809763,2
,8.126984126984127,8.0,True,1536,0,low_rank,v_proj,model.layers.0.self_attn.v_proj,256,393216,48384,27,0.9077446135900867,
16,16.0,8.0,True,1536,0,block_circulant,v_proj,model.layers.0.self_attn.v_proj,256,393216,24576,0,0.9683640868166337,
64,8.0,8.0,True,1536,0,monarch_like,v_proj,model.layers.0.self_attn.v_proj,256,393216,49152,48,0.9577342191288929,2
,16.87912087912088,16.0,True,1536,0,low_rank,v_proj,model.layers.0.self_attn.v_proj,256,393216,23296,13,0.9531887942364724,
16,16.0,16.0,True,1536,0,block_circulant,v_proj,model.layers.0.self_attn.v_proj,256,393216,24576,0,0.9683640868166337,
64,16.0,16.0,True,1536,0,monarch_like,v_proj,model.layers.0.self_attn.v_proj,256,393216,24576,24,0.965541687404324,2
,2.0018618506795756,2.0,False,8960,1,low_rank,down_proj,model.layers.1.mlp.down_proj,1536,13762560,6874880,655,0.6011028491135196,
16,16.0,2.0,False,8960,1,block_circulant,down_proj,model.layers.1.mlp.down_proj,1536,13762560,860160,0,0.9682545868153477,
64,35.0,2.0,False,8960,1,monarch_like,down_proj,model.layers.1.mlp.down_proj,1536,13762560,393216,64,0.9928349538563592,2
,4.009845603043186,4.0,False,8960,1,low_rank,down_proj,model.layers.1.mlp.down_proj,1536,13762560,3432192,327,0.7822955853873258,
