compression_ratio_target,has_bias,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,in_features,layer,module_type,name,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,out_features,relative_weight_error_after_residual,residual_channels,residual_density_1e_6,residual_effective_rank,residual_fraction,residual_l1,residual_l2,residual_params,residual_rank,residual_rank_90,residual_rank_95,residual_rank_99,residual_top_1pct_l1_frac,residual_type
16.0,False,1.3812048082967567,0,0.01846439214040736,1536,19,o_proj,model.layers.19.self_attn.o_proj,1.4849222428303828,0,0.016242208885563783,1536,0.8380525623450006,0,0.9999593098958334,602.7151407575197,0.04,42412.12560989668,35.69258590998963,92160,30,520,674,970,0.04201512215080304,low_rank
16.0,False,1.3812048082967567,0,0.01846439214040736,1536,19,o_proj,model.layers.19.self_attn.o_proj,1.4849222428303828,0,0.016242208885563783,1536,0.7594656400688037,0,0.9999593098958334,602.7151407575197,0.04,42412.12560989668,35.69258590998963,94371,0,520,674,970,0.04201512215080304,sparse
16.0,False,1.3812048082967567,0,0.01846439214040736,1536,19,o_proj,model.layers.19.self_attn.o_proj,1.4849222428303828,0,0.016242208885563783,1536,0.8645583423696656,61,0.9999593098958334,602.7151407575197,0.04,42412.12560989668,35.69258590998963,93696,0,520,674,970,0.04201512215080304,channel_in
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.367038703213404,0,0.9999135335286459,589.565913272517,0.0,18298.91029625066,15.283963492573804,0,0,498,611,812,0.04012052803390644,none
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.367038703213404,0,0.9999135335286459,589.565913272517,0.01,18298.91029625066,15.283963492573804,0,0,498,611,812,0.04012052803390644,none
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.36184991877429734,0,0.9999135335286459,589.565913272517,0.01,18298.91029625066,15.283963492573804,21504,7,498,611,812,0.04012052803390644,low_rank
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.3483647086489358,0,0.9999135335286459,589.565913272517,0.01,18298.91029625066,15.283963492573804,23592,0,498,611,812,0.04012052803390644,sparse
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.36401647676311943,15,0.9999135335286459,589.565913272517,0.01,18298.91029625066,15.283963492573804,23040,0,498,611,812,0.04012052803390644,channel_out
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.367038703213404,0,0.9999135335286459,589.565913272517,0.02,18298.91029625066,15.283963492573804,0,0,498,611,812,0.04012052803390644,none
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.35600023382563634,0,0.9999135335286459,589.565913272517,0.02,18298.91029625066,15.283963492573804,46080,15,498,611,812,0.04012052803390644,low_rank
