comfort_tolerance,deployable,epsilon,hessian_cost,nll,nll_delta,normalized_hessian_cost,path_kind,payload_ratio_at_codec_endpoint,perplexity,perplexity_delta,strategy,target_ratio,taylor_fit_absolute_error,taylor_fit_nll_delta,tokens,within_local_comfort_fit
0.0016831870220750474,False,0.1875,0.33132591427420266,4.034137395423229,0.008357280821312152,0.00011758113153281669,noncodec_interpolation,0.25799984402126735,56.4941670869102,0.4701702103209513,Q+S_OBS,0.258,5.865428906308423e-05,0.008415935110375236,1016,True
0.0024132976381796567,False,0.25,0.5890238475985825,4.037846602792815,0.012066488190898284,0.00020903312272500745,noncodec_interpolation,0.25799984402126735,56.70410477832633,0.680107901737081,Q+S_OBS,0.258,7.227150836893251e-05,0.011994216682529351,1016,True
0.0042524382824034035,False,0.375,1.3253036570968106,4.0470423060139336,0.021262191412017017,0.00047032452613126675,noncodec_interpolation,0.25799984402126735,57.22794373974432,1.2039468631550676,Q+S_OBS,0.258,0.0009519567821358807,0.020310234629881137,1016,True
0.006452389213982457,False,0.5,2.35609539039433,4.058042060671829,0.032261946069912284,0.0008361324909000298,noncodec_interpolation,0.25799984402126735,57.860911945812,1.8369150692227478,Q+S_OBS,0.258,0.00208975375528795,0.030172192314624334,1016,True
0.009103177288385745,False,0.625,3.6813990474911407,4.071296001043845,0.04551588644192872,0.0013064570170312965,noncodec_interpolation,0.25799984402126735,58.63290167447195,2.608904797882701,Q+S_OBS,0.258,0.003935796705169782,0.04158008973675894,1016,True
0.012163477619801811,False,0.75,5.3012146283872426,4.086597502700926,0.06081738809900905,0.001881298104525067,noncodec_interpolation,0.25799984402126735,59.536972296109994,3.5129754195207425,Q+S_OBS,0.258,0.0062834612027241055,0.054533926896284945,1016,True
0.015820733017808664,False,0.875,7.215542133082636,4.10488377969096,0.07910366508904332,0.002560655753381341,noncodec_interpolation,0.25799984402126735,60.63569703863341,4.6117001620441584,Q+S_OBS,0.258,0.010069961295840951,0.06903370379320237,1016,True
0.019974343607744773,True,1.0,9.42438156157732,4.12565183264064,0.09987171803872386,0.003344529963600119,codec_endpoint,0.25799984402126735,61.90814985407496,5.884152977485712,Q+S_OBS,0.258,0.01479229761121266,0.0850794204275112,1016,True
0.0001,False,0.0,0.0,4.0257801146019165,0.0,0.0,noncodec_interpolation,0.25732421875,56.02399687658925,0.0,Q+L,0.258,0.0,0.0,1016,True
0.0001,False,0.03125,0.007676100491153193,4.026222919854592,0.00044280525267570425,2.7240989690967763e-06,noncodec_interpolation,0.25732421875,56.04881008998726,0.024813213398012124,Q+L,0.258,1.5528540578689455e-05,0.0004583337932543937,1016,True
