activation_reconstruction_error,added_bits_over_q,added_scalars_over_q,all_requested_components_active,allocation_id,allocation_source,artifact_file_bytes,base_codes_padding_bits,base_codes_raw_bits,base_codes_stored_bits,base_scales_padding_bits,base_scales_raw_bits,base_scales_stored_bits,baseline_hessian_energy,both_s_and_l_active,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,cols,comparison_budget_bits,comparison_budget_file_bytes,component_scale_labels,component_scale_multipliers,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,fp16_accumulation_rounding_l2,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_decomposition_residual,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_gain_per_added_scalar,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,joint_component_constraint,l_active,layer,logical_max_sparse_nnz_before_serialized_cap,lowrank_factors_padding_bits,lowrank_factors_raw_bits,lowrank_factors_stored_bits,lowrank_rank,lowrank_scales_padding_bits,lowrank_scales_raw_bits,lowrank_scales_stored_bits,metadata_padding_bits,metadata_raw_bits,metadata_stored_bits,normalized_hessian_cost,obs_applied,obs_continuous_cost,obs_fp16_rounding_cost_gap,obs_relative_stationarity_continuous,obs_relative_stationarity_stored,obs_rhs_null_residual_max,obs_stored_cost,obs_unique_support_count,payload_bits,payload_ratio,q_active,q_col_block_size,q_reference_bits,q_reference_cost,q_scale_count,rate_cap_strategy,reference_bits,repair_padding_bits,repair_raw_bits,repair_stored_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,rows,s_active,scale_col_block_size,scale_cost_after_continuous,scale_cost_before_continuous,scale_gram_condition,scale_gram_rank,scale_groups_per_row,scale_max_basis_stationarity,scale_multiplier_applied,scale_multiplier_continuous,scale_repair_kind,search_family,selected_within_layer_target,serialized_alignment_guard_bytes,serialized_allocation_budget_file_bytes,serialized_rate_cap_satisfied,sparse_fraction,sparse_nnz,sparse_scales_padding_bits,sparse_scales_raw_bits,sparse_scales_stored_bits,sparse_support_padding_bits,sparse_support_raw_bits,sparse_support_stored_bits,sparse_values_padding_bits,sparse_values_raw_bits,sparse_values_stored_bits,strategy,support_encoding,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
0.0023777869064360857,236576,10464,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,0.46888529710942195,0.45178841393195684,3072,9695232,1213824,,,3.8972278477248925,0,0.0,0.008641209453344345,0.009094391949474812,-0.00788963958621025,-0.007601961027830839,0.00039678532630205154,1.3504177331924438e-08,0.007717425934970379,3.262133916783773e-08,7.375215916447227e-07,0.45904767634384014,0.0037407423369586468,0.01682637445628643,0.003622076939791441,both_S_and_L_required,True,model.decoder.layers.3.fc2,,0,122880,122880,2,0,0,0,0,0,0,0.0023957568819692006,,,,,,,,,9686048,0.25659264458550346,True,0,9449472,0.01681181788444519,768,per_layer_exact_Q+L_serialized_bytes,37748736,0,0,0,-0.497225045714759,repair_cancellation,-0.48687954901046626,repair_cancellation,0.053897407289069395,hessian_orthogonal,768,True,,,,,,,,,,,selected_endpoint,True,64,1213760,,0.0011800130208333333,2784,0,0,0,0,69152,69152,0,44544,44544,Q+S+L_QL_budget,csr_fixed,-0.0014073554144965472,0.258,0.1184329017996788,True,0.1632712185382843
0.0023677891585975885,236576,10464,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,0.4704162721165866,0.43857861335017545,3072,9695232,1213824,q+s+l,"{""l"": 0.9968990672058365, ""q"": 0.9972759153185902, ""s"": 0.9743726275910852}",3.8972278477248925,3,0.0,0.008591805584728718,0.009056143462657928,-0.007827410474419594,-0.007297653239220381,0.00038536134525202215,2.412707544863224e-08,0.007755674421787262,3.278301442998133e-08,7.411768369445014e-07,0.4613227715821886,0.003717639949172735,0.016639327630400658,0.0034388541243970394,,True,model.decoder.layers.3.fc2,,0,122880,122880,2,0,0,0,0,0,0,0.002385680993880635,,,,,,,,,9686048,0.25659264458550346,True,0,9449472,0.01681181788444519,768,per_layer_exact_Q+L_serialized_bytes,37748736,0,0,0,-0.4976070946404676,repair_cancellation,-0.4823679722430085,repair_cancellation,0.053888688446664154,hessian_orthogonal,768,True,,0.009067173980012892,0.009094392177078942,1146.1906674954162,3,,9.111312292359423e-19,,,component_multipliers_folded_into_existing_fp16_storage,selected_endpoint,True,64,1213760,,0.0011800130208333333,2784,0,0,0,0,69152,69152,0,44544,44544,Q+S+L_QL_budget_component_scale,csr_fixed,-0.0014073554144965472,0.258,0.11785052716732025,True,0.16241993010044098
0.002127634594216943,289696,12124,True,,same_rank_and_support_as_selected_Q+S+L,,0,9437184,9437184,0,12288,12288,7.592082500457764,,0.2745199334375942,0.7707536970528709,3072,,,,,3.8759713355391345,4444,0.0,0.00848403386771679,0.008068030700087547,-0.0046156602911651134,-0.012959121726453304,9.110355313168839e-05,1.541775418445468e-08,0.008743787184357643,3.018263001338521e-08,7.211965674989808e-07,0.5200976625167741,0.002259393921121955,0.016813570633530617,0.0064787291921675205,,True,model.decoder.layers.3.fc2,,0,122880,122880,2,0,0,0,0,0,0,0.002125380144275589,True,0.010333203612541643,9.80739916361939e-11,8.54670861549296e-17,2.5940936895123005e-05,2.0278585381724243e-15,0.010333203710615635,546,9739168,0.25799984402126735,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,-0.37443625043891127,repair_cancellation,-0.620827125011307,repair_cancellation,0.011905960245213745,hessian_orthogonal,768,True,,,,,,,,,,,selected_endpoint,True,,,,0.0018836127387152778,4444,0,0,0,0,95712,95712,0,71104,71104,Q+S_OBS+L,csr_fixed,-1.5597873265216222e-07,0.258,0.10365605354309082,True,0.14542081952095032
0.0022623513359576464,289696,12124,True,,,,0,9437184,9437184,0,12288,12288,7.592082500457764,,0.42979443585123267,0.5332236122808498,3072,,,q+s+l,"{""l"": 0.9967551793887158, ""q"": 0.9974413979945078, ""s"": 0.980691716765168}",3.8759713355391345,3,0.0,0.008578487671911716,0.008612900972366333,-0.007153750397264957,-0.00887528620660305,0.0004541686794254929,1.7549609765410423e-08,0.008198916912078857,2.8301795371972198e-08,6.762551065719941e-07,0.48768770685202023,0.0033471023198217154,0.016644585877656937,0.00419606314972043,,True,model.decoder.layers.3.fc2,,0,122880,122880,2,0,0,0,0,0,0,0.002268916590895059,,,,,,,,,9739168,0.25799984402126735,True,0,9449472,0.01681181788444519,768,,37748736,0,0,0,-0.47921763976933957,repair_cancellation,-0.5310004221109246,repair_cancellation,0.060594287483110756,hessian_orthogonal,768,True,,0.008621868969324355,0.008645979277398732,1166.2088594686338,3,,2.2713422944271015e-17,,,component_multipliers_folded_into_existing_fp16_storage,selected_endpoint,True,,,,0.0018836127387152778,4444,0,0,0,0,95712,95712,0,71104,71104,Q+S+L_component_scale,csr_fixed,-1.5597873265216222e-07,0.258,0.110654316842556,True,0.15235771238803864
,,,,block=32,,,,,,,,,,,,,,,,,,,,,,0.887763500213623,,,,,,,,,,,,,,model.decoder.layers.6.fc1,,,,,,,,,,,,,,,,,,,,,10616832,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,,,,Q_block_scale,,,0.258,,False,
,,,,block=64,,,,,,,,,,,,,,,,,,,,,,1.0284512042999268,,,,,,,,,,,,,,model.decoder.layers.6.fc1,,,,,,,,,,,,,,,,,,,,,10027008,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,,,,Q_block_scale,,,0.258,,False,
,,,,block=128,,,,,,,,,,,,,,,,,,,,,,1.1226933002471924,,,,,,,,,,,,,,model.decoder.layers.6.fc1,,,,,,,,,,,,,,,,,,,,,9732096,0.2578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,True,,,,,,,,,,,,,,,Q_block_scale,,,0.258,,True,
,,,,block=256,,,,,,,,,,,,,,,,,,,,,,1.19598388671875,,,,,,,,,,,,,,model.decoder.layers.6.fc1,,,,,,,,,,,,,,,,,,,,,9584640,0.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,,,,Q_block_scale,,,0.258,,True,
,,,,block=512,,,,,,,,,,,,,,,,,,,,,,1.2262749671936035,,,,,,,,,,,,,,model.decoder.layers.6.fc1,,,,,,,,,,,,,,,,,,,,,9535488,0.2526041666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,,,,Q_block_scale,,,0.258,,True,
,,,,"rank=0,nnz=4828",,,,,,,,,,False,,,,,,,,,,,,1.1341527700424194,,,,,,,,,,,,,,model.decoder.layers.6.fc1,,,,,0,,,,,,,,,,,,,,,,9739168,0.25799984402126735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_allocation,False,,,,,4828,,,,,,,,,,Q+S+L,,,0.258,,True,
