activation_reconstruction_error,added_bits_over_q,added_scalars_over_q,all_requested_components_active,allocation_id,allocation_source,base_codes_padding_bits,base_codes_raw_bits,base_codes_stored_bits,base_scales_padding_bits,base_scales_raw_bits,base_scales_stored_bits,baseline_hessian_energy,both_s_and_l_active,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,cols,comparison_budget_bits,component_scale_labels,component_scale_multipliers,compression_ratio,folded_repair_dof,folded_zero_bit_hessian_gain,fp16_accumulation_rounding_l2,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_decomposition_residual,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_gain_per_added_scalar,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,joint_component_constraint,l_active,layer,lowrank_factors_padding_bits,lowrank_factors_raw_bits,lowrank_factors_stored_bits,lowrank_rank,lowrank_scales_padding_bits,lowrank_scales_raw_bits,lowrank_scales_stored_bits,metadata_padding_bits,metadata_raw_bits,metadata_stored_bits,normalized_hessian_cost,obs_applied,obs_continuous_cost,obs_fp16_rounding_cost_gap,obs_reason,obs_relative_stationarity_continuous,obs_relative_stationarity_stored,obs_rhs_null_residual_max,obs_stored_cost,obs_unique_support_count,payload_bits,payload_ratio,q_active,q_col_block_size,q_reference_bits,q_reference_cost,q_scale_count,rate_cap_strategy,reference_bits,repair_padding_bits,repair_raw_bits,repair_stored_bits,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,rows,s_active,scale_col_block_size,scale_cost_after_continuous,scale_cost_before_continuous,scale_gram_condition,scale_gram_rank,scale_groups_per_row,scale_max_basis_stationarity,scale_multiplier_applied,scale_multiplier_continuous,scale_repair_kind,search_family,selected_within_layer_target,sparse_fraction,sparse_nnz,sparse_scales_padding_bits,sparse_scales_raw_bits,sparse_scales_stored_bits,sparse_support_padding_bits,sparse_support_raw_bits,sparse_support_stored_bits,sparse_values_padding_bits,sparse_values_raw_bits,sparse_values_stored_bits,strategy,support_encoding,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
0.008366626687347889,122880,5887,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,0.4339869843137074,0.07886714488794153,2048,4325376,q+s+l,"{""l"": 0.9897835465779347, ""q"": 0.9926698133801772, ""s"": 0.8974639984570995}",3.878787878787879,3,0.0,0.0042885420843958855,0.10821851342916489,-0.06316518783569336,-0.011478818953037262,0.0011044042184948921,-4.6566128730773926e-09,0.0390956774353981,3.1816143746254967e-07,6.641018759197911e-06,0.26538975780915564,0.03102821111679077,0.14554627239704132,0.0051836371421813965,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,0,81920,81920,2,0,0,0,0,0,0,0.008349577043392434,,,,,,,,,,4325376,0.2578125,True,0,4202496,0.147314190864563,512,per_layer_exact_Q+L_payload_bits,16777216,0,0,0,-0.4699686448486972,repair_cancellation,-0.20895336544526452,repair_cancellation,0.04354140068778009,hessian_orthogonal,512,True,,0.10821707988142491,0.108953147484435,2060.5050847143316,3,,1.0213646532108923e-17,,,component_multipliers_folded_into_existing_fp16_storage,selected_endpoint,True,0.0007314682006835938,767,0,0,0,0,28688,28688,0,12272,12272,Q+S+L_QL_budget_component_scale,csr_fixed,-0.0001875000000000071,0.258,0.011139295063912868,True,0.014643470756709576
0.00808283407241106,126016,5985,True,,same_rank_and_support_as_selected_Q+S+L,0,4194304,4194304,0,8192,8192,25.92191505432129,,0.39274505208599375,0.1841806741537575,2048,,,,3.8759777031922287,865,0.0,0.004320398438721895,0.1053968295454979,-0.05785897374153137,-0.027133390307426453,0.0011504341382533312,-3.189779818058014e-08,0.041917361319065094,3.3263523139176847e-07,7.003736227078545e-06,0.28454394700917085,0.028352711349725723,0.14731942117214203,0.013566658832132816,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,0,81920,81920,2,0,0,0,0,0,0,0.008131870606367704,True,0.13374874979163795,-9.833828501504271e-09,,2.950311355329623e-17,1.2292925738366363e-05,1.7460966098859898e-15,0.13374873995780945,74,4328512,0.2579994201660156,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,-0.4476240686236644,repair_cancellation,-0.30346430371195804,repair_cancellation,0.029329051275648634,hessian_orthogonal,512,True,,,,,,,,,,,selected_endpoint,True,0.0008249282836914062,865,0,0,0,0,30256,30256,0,13840,13840,Q+S_OBS+L,csr_fixed,-5.798339843821054e-07,0.258,0.01117412094026804,True,0.014187948778271675
0.00834636203944683,126016,5985,True,,,0,4194304,4194304,0,8192,8192,25.92191505432129,,0.43020161808825447,0.08706811572287741,2048,,q+s+l,"{""l"": 0.990320102130962, ""q"": 0.9927308330868065, ""s"": 0.9007938926150462}",3.8759777031922287,3,0.0,0.004291542340070009,0.10790316015481949,-0.06261508166790009,-0.012672609649598598,0.0012208506232127547,4.773028194904327e-09,0.0394110307097435,3.1274624420504934e-07,6.584967537133417e-06,0.26753044277979315,0.03069785237312317,0.14554822444915771,0.005723919253796339,,True,gpt_neox.layers.0.mlp.dense_4h_to_h,0,81920,81920,2,0,0,0,0,0,0,0.008325246026668974,,,,,,,,,,4328512,0.2579994201660156,True,0,4202496,0.147314190864563,512,,16777216,0,0,0,-0.468372624205682,repair_cancellation,-0.21952594570807282,repair_cancellation,0.046050228303684194,hessian_orthogonal,512,True,,0.1079057038553896,0.1086298530372721,1881.8834766221112,3,,1.0557248871004647e-17,,,component_multipliers_folded_into_existing_fp16_storage,selected_endpoint,True,0.0008249282836914062,865,0,0,0,0,30256,30256,0,13840,13840,Q+S+L_component_scale,csr_fixed,-5.798339843821054e-07,0.258,0.01112866960465908,True,0.014680670574307442
,,,,block=32,,,,,,,,,,,,,,,,,,,,0.06891787052154541,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,,,,,,,,,,,,,,,,,,4718592,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,Q_block_scale,,,0.275,,False,
,,,,block=64,,,,,,,,,,,,,,,,,,,,0.09020765125751495,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,,,,,,,,,,,,,,,,,,4456448,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,True,,,,,,,,,,,,Q_block_scale,,,0.275,,True,
,,,,block=128,,,,,,,,,,,,,,,,,,,,0.10738521814346313,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,,,,,,,,,,,,,,,,,,4325376,0.2578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,Q_block_scale,,,0.275,,True,
,,,,block=256,,,,,,,,,,,,,,,,,,,,0.11995312571525574,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,,,,,,,,,,,,,,,,,,4259840,0.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,Q_block_scale,,,0.275,,True,
,,,,block=512,,,,,,,,,,,,,,,,,,,,0.13008983433246613,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,,,,,,,,,,,,,,,,,,4227072,0.251953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q_block_scale,False,,,,,,,,,,,,Q_block_scale,,,0.275,,True,
,,,,"rank=0,nnz=12338",,,,,,,,,False,,,,,,,,,,,0.11952786892652512,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,0,,,,,,,,,,,,,,,,,4613728,0.27499961853027344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_allocation,False,,12338,,,,,,,,,,Q+S+L,,,0.275,,True,
,,,,"rank=1,nnz=11058",,,,,,,,,True,,,,,,,,,,,0.09561528265476227,,,,,,,,,,,,,,gpt_neox.layers.0.mlp.dense_4h_to_h,,,,1,,,,,,,,,,,,,,,,,4613728,0.27499961853027344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q+S+L_exact_allocation,False,,11058,,,,,,,,,,Q+S+L,,,0.275,,True,
