batch_index,nll,nll_sum,perplexity,sequence_index,strategy,tokens,window_index
0,4.064226766270916,516.1567993164062,58.21987354358653,0,Q_block_scale,127,0
1,3.6585058978223426,464.6302490234375,38.80332340861778,0,Q_block_scale,127,1
2,4.261318897637795,541.1875,70.9034361879349,0,Q_block_scale,127,2
3,4.571516863004429,580.5826416015625,96.69066508531995,0,Q_block_scale,127,3
4,4.646456981268455,590.1000366210938,104.21509466632493,0,Q_block_scale,127,4
5,4.312690794937254,547.7117309570312,74.64106276160506,0,Q_block_scale,127,5
6,4.488526351808563,570.0428466796875,88.9902089434074,0,Q_block_scale,127,6
7,4.214279054656742,535.2134399414062,67.64537966548838,0,Q_block_scale,127,7
8,5.173191340889518,656.9953002929688,176.4771384678251,0,Q_block_scale,127,8
9,4.4458603746309056,564.624267578125,85.27321319418651,0,Q_block_scale,127,9
10,4.426446869617372,562.1587524414062,83.63372682182504,0,Q_block_scale,127,10
11,4.652089036355807,590.8153076171875,104.80369578150162,0,Q_block_scale,127,11
12,4.310386837936762,547.4191284179688,74.46929091598794,0,Q_block_scale,127,12
13,4.382594791922982,556.5895385742188,80.04546549448017,0,Q_block_scale,127,13
14,4.204614834522638,533.986083984375,66.99478861650803,0,Q_block_scale,127,14
15,4.45021117202879,565.1768188476562,85.64502792702693,0,Q_block_scale,127,15
0,4.023004006213091,510.9215087890625,55.868683871499655,0,Q+S,127,0
1,3.6590809258889028,464.7032775878906,38.82564282518402,0,Q+S,127,1
2,4.267677126906988,541.9949951171875,71.35569274300757,0,Q+S,127,2
3,4.566041961429626,579.8873291015625,96.16273969923247,0,Q+S,127,3
4,4.661831112358514,592.0525512695312,105.82969089778378,0,Q+S,127,4
5,4.314557894008366,547.9488525390625,74.78055520313482,0,Q+S,127,5
6,4.462745486281988,566.7686767578125,86.72528562285532,0,Q+S,127,6
7,4.21627975824311,535.467529296875,67.78085349548543,0,Q+S,127,7
8,5.134136530358021,652.0353393554688,169.71771049669854,0,Q+S,127,8
9,4.433155930887057,563.0108032226562,84.19671707558659,0,Q+S,127,9
